,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
212,4.09894848977208e-124,0.876944406068407,0.994,0.926,7.62076503218424e-120,10,Hspd1
213,1.77731394350871e-121,1.09303457725056,0.71,0.261,3.30438208377139e-117,10,Serpine1
214,6.84176719029803e-121,1.43280447429239,0.346,0.064,1.27202135602021e-116,10,Crct1
215,3.91255795030531e-119,0.927156137355226,0.951,0.671,7.27422774120763e-115,10,Cd44
216,2.7406758084746e-118,1.10644044178317,0.996,0.975,5.09546446311598e-114,10,Timp1
217,1.70558282969569e-102,1.14430608551479,0.824,0.453,3.17101959697022e-98,10,Cavin2
218,5.89902686030593e-98,1.04999438614554,0.996,0.975,1.09674707386808e-93,10,Tagln
219,1.81082655733043e-84,0.804191241548887,0.985,0.823,3.36668873538873e-80,10,Tagln2
220,3.08381117864797e-52,0.792090851326955,0.942,0.794,5.7334217433423e-48,10,Gsto1
221,5.10992463005403e-102,0.772855544265797,0.988,0.999,9.50037187219646e-98,11,Ppia
222,1.44754463277843e-97,0.711916310889236,0.997,0.999,2.69127498126166e-93,11,Lgals1
223,3.43088519158284e-80,0.747954052547221,0.97,0.999,6.37870174819081e-76,11,S100a11
224,7.43388851675822e-77,0.846448300198657,0.973,0.999,1.38210855303569e-72,11,Rps26
225,1.61451551382297e-46,2.17262500717694,0.926,0.998,3.00170724329967e-42,11,Gm42418
226,2.63285784778502e-42,0.865964715294488,0.855,0.997,4.89500931060191e-38,11,Txn1
227,1.88575141730545e-36,0.891834469472109,0.805,0.995,3.50598903505429e-32,11,Mif
228,3.42323379475912e-29,0.705178559110979,0.799,0.996,6.36447627121615e-25,11,Myl12a
229,4.8016343268809e-24,0.766361999545941,0.76,0.991,8.92719854053698e-20,11,Nme1
230,2.0796800958268e-18,0.806749732327659,0.843,0.992,3.86654123416118e-14,11,S100a4
231,4.58648111039775e-18,0.888509655351809,0.76,0.994,8.5271856804515e-14,11,Eif2s2
232,1.01990183957553e-09,0.767465455748144,0.704,0.99,1.89620150013882e-05,11,Psma7
233,2.86909043289194e-09,0.843514520220578,0.636,0.966,5.3342129328327e-05,11,Usmg5
234,1.77172358572951e-06,0.732786880337066,0.852,0.991,0.032939884905883,11,Fabp5
235,7.54568666197808e-06,0.707538244745838,0.322,0.62,0.140289406419496,11,Dut
236,7.8732189648355e-06,0.736006318727451,0.311,0.571,0.146378886994222,11,Hmgb2
237,3.11983173922171e-05,0.813236245552572,0.666,0.97,0.580039116956101,11,Anxa1
238,3.7899230163902e-05,0.783365538817793,0.636,0.962,0.704622487207265,11,Ranbp1
239,0.000577268193264689,1.60447130580807,0.417,0.503,1,11,AY036118
240,0.000666606242352116,0.786442009052515,0.183,0.33,1,11,Lars2
241,8.22374876604363e-96,1.27779392374737,0.989,0.807,1.52895937058283e-91,12,Igf1
242,6.74892482239764e-93,1.42589225614457,0.989,0.84,1.25476010298017e-88,12,Tnmd
243,6.16919505194004e-90,0.873602840564481,0.746,0.286,1.14697674405669e-85,12,Cpxm2
244,3.09963414759087e-88,1.47868986428287,0.958,0.639,5.76283980720095e-84,12,Nov
245,3.64228938416277e-87,1.93180089709108,0.926,0.583,6.77174442303542e-83,12,Mest
246,1.39836486855589e-79,1.44005231359188,1,0.984,2.59983996361911e-75,12,Mgp
247,2.28975793067739e-75,1.27578544563715,1,0.958,4.2571179447154e-71,12,Ptn
